negative,topic,hour,tod,region
0,3,10.0,Morning,Zhejiang
1,3,8.0,Morning,Guangdong
1,3,18.0,Evening,Guangdong
0,1,18.0,Evening,Sichuan
1,3,7.0,Morning,Jilin
0,3,17.0,Afternoon,Hunan
1,3,3.0,Overnight,Jiangsu
0,6,23.0,Evening,Hebei
0,3,3.0,Overnight,Zhejiang
1,3,2.0,Overnight,Guangdong
1,3,2.0,Overnight,Jiangxi
1,3,2.0,Overnight,Anhui
1,3,0.0,Overnight,Jiangxi
0,3,17.0,Afternoon,Henan
0,3,0.0,Overnight,Guangdong
1,3,1.0,Overnight,Yunnan
1,3,17.0,Afternoon,Guangdong
1,6,19.0,Evening,Guangdong
0,3,20.0,Evening,Hebei
1,3,0.0,Overnight,Zhejiang
0,3,0.0,Overnight,Shanghai
0,3,0.0,Overnight,France
1,3,1.0,Overnight,Sichuan
1,3,22.0,Evening,Jilin
0,5,22.0,Evening,Hong Kong
0,3,23.0,Evening,Tianjin
0,3,22.0,Evening,Tianjin
0,3,23.0,Evening,Xinjiang
0,3,23.0,Evening,Henan
0,1,17.0,Afternoon,Chongqing
0,7,17.0,Afternoon,Shanghai
0,3,17.0,Afternoon,Sichuan
0,1,17.0,Afternoon,Russia
0,7,17.0,Afternoon,Sichuan
1,3,16.0,Afternoon,Hebei
0,3,16.0,Afternoon,Chongqing
1,3,16.0,Afternoon,Liaoning
1,5,16.0,Afternoon,Beijing
1,3,16.0,Afternoon,Hebei
0,3,16.0,Afternoon,Sichuan
1,3,16.0,Afternoon,Shanghai
0,3,16.0,Afternoon,Guangxi
0,3,16.0,Afternoon,Shaanxi
0,3,16.0,Afternoon,Yunnan
0,3,16.0,Afternoon,Xinjiang
1,3,16.0,Afternoon,Hebei
0,3,16.0,Afternoon,Hubei
1,3,16.0,Afternoon,Hunan
1,3,15.0,Afternoon,Anhui
1,3,15.0,Afternoon,Zhejiang
0,5,15.0,Afternoon,Guangdong
1,3,15.0,Afternoon,Shandong
0,3,14.0,Afternoon,Hubei
0,3,14.0,Afternoon,Shanghai
0,3,14.0,Afternoon,Gansu
0,7,14.0,Afternoon,Zhejiang
0,1,14.0,Afternoon,Ningxia
0,3,14.0,Afternoon,Beijing
0,3,14.0,Afternoon,Liaoning
0,3,14.0,Afternoon,Inner Mongolia
0,1,14.0,Afternoon,Beijing
0,5,14.0,Afternoon,Tianjin
0,1,14.0,Afternoon,Beijing
0,3,14.0,Afternoon,Beijing
0,5,14.0,Afternoon,Zhejiang
0,3,14.0,Afternoon,Shandong
0,6,14.0,Afternoon,Hunan
1,6,13.0,Afternoon,Shanxi
0,5,13.0,Afternoon,Shandong
0,7,13.0,Afternoon,Guangdong
0,4,13.0,Afternoon,Shandong
0,7,13.0,Afternoon,Hebei
1,3,13.0,Afternoon,Hunan
1,3,13.0,Afternoon,Jiangxi
0,3,13.0,Afternoon,Yunnan
0,4,13.0,Afternoon,Sichuan
0,3,13.0,Afternoon,Liaoning
0,7,13.0,Afternoon,Beijing
0,3,13.0,Afternoon,Singapore
1,6,12.0,Afternoon,Shanghai
0,5,12.0,Afternoon,Zhejiang
0,7,12.0,Afternoon,Guangdong
0,1,12.0,Afternoon,Hubei
0,3,12.0,Afternoon,Fujian
1,3,12.0,Afternoon,Sichuan
0,5,12.0,Afternoon,Guangdong
0,4,12.0,Afternoon,Henan
0,5,12.0,Afternoon,Yunnan
0,3,12.0,Afternoon,Shandong
1,3,12.0,Afternoon,Liaoning
0,3,12.0,Afternoon,Guangdong
0,3,12.0,Afternoon,Guangdong
0,3,12.0,Afternoon,Liaoning
0,7,12.0,Afternoon,Beijing
0,3,11.0,Morning,Henan
0,1,11.0,Morning,Guangdong
0,3,11.0,Morning,Hebei
0,3,11.0,Morning,Zhejiang
0,4,11.0,Morning,Beijing
0,6,11.0,Morning,Shaanxi
0,3,11.0,Morning,Jiangxi
1,3,11.0,Morning,Hunan
0,3,11.0,Morning,Guangdong
0,5,11.0,Morning,Hubei
0,3,11.0,Morning,Shandong
0,3,11.0,Morning,Tianjin
1,3,11.0,Morning,Singapore
0,3,11.0,Morning,Shanxi
0,3,11.0,Morning,Hunan
1,3,11.0,Morning,Sichuan
0,6,10.0,Morning,Shanghai
0,1,10.0,Morning,Heilongjiang
0,3,10.0,Morning,Guangdong
0,3,10.0,Morning,Tianjin
0,3,10.0,Morning,Beijing
1,3,10.0,Morning,Yunnan
1,6,10.0,Morning,Zhejiang
1,3,10.0,Morning,Jiangsu
0,3,10.0,Morning,Hubei
0,3,10.0,Morning,Zhejiang
0,7,10.0,Morning,Beijing
1,3,10.0,Morning,Hunan
0,7,10.0,Morning,Zhejiang
0,3,10.0,Morning,Chongqing
0,3,9.0,Morning,Shandong
1,3,9.0,Morning,Fujian
1,3,9.0,Morning,Guangdong
0,3,9.0,Morning,Guangdong
1,3,9.0,Morning,Jilin
0,3,9.0,Morning,Shanghai
0,1,9.0,Morning,Heilongjiang
0,5,9.0,Morning,Sichuan
0,3,9.0,Morning,Shanxi
0,3,9.0,Morning,Guangdong
0,4,9.0,Morning,Hebei
0,3,9.0,Morning,Guangdong
0,6,9.0,Morning,Hunan
0,1,9.0,Morning,Liaoning
0,5,9.0,Morning,Zhejiang
0,4,8.0,Morning,Henan
0,3,8.0,Morning,Hubei
0,3,8.0,Morning,Yunnan
0,3,8.0,Morning,Guangxi
0,3,8.0,Morning,Jiangsu
0,3,8.0,Morning,Shandong
0,5,8.0,Morning,Hong Kong
0,2,8.0,Morning,Henan
0,4,8.0,Morning,Inner Mongolia
0,3,8.0,Morning,Jiangsu
0,6,8.0,Morning,Hebei
0,4,8.0,Morning,Anhui
0,5,8.0,Morning,Shandong
0,4,7.0,Morning,Jiangsu
0,6,7.0,Morning,Shandong
0,4,7.0,Morning,Xinjiang
0,3,7.0,Morning,Henan
0,3,7.0,Morning,Henan
1,3,7.0,Morning,Thailand
0,3,7.0,Morning,United Kingdom
0,5,7.0,Morning,Liaoning
0,3,7.0,Morning,Jiangxi
0,5,7.0,Morning,Hebei
0,3,7.0,Morning,Guangdong
0,3,7.0,Morning,Shandong
0,3,6.0,Morning,Liaoning
0,1,6.0,Morning,Jiangsu
1,3,5.0,Overnight,Sichuan
1,3,4.0,Overnight,Guangdong
1,3,4.0,Overnight,Zhejiang
0,3,4.0,Overnight,Jiangsu
1,6,3.0,Overnight,Anhui
0,7,3.0,Overnight,United States
1,3,3.0,Overnight,Henan
0,3,3.0,Overnight,Beijing
0,4,3.0,Overnight,Shandong
0,7,3.0,Overnight,Guangdong
0,3,2.0,Overnight,Zhejiang
0,5,2.0,Overnight,Shandong
0,3,2.0,Overnight,Tianjin
0,3,1.0,Overnight,Malaysia
1,3,1.0,Overnight,Jiangxi
0,5,1.0,Overnight,Shandong
0,7,1.0,Overnight,Guangxi
1,3,1.0,Overnight,Guangdong
1,5,1.0,Overnight,Jiangsu
1,3,1.0,Overnight,Henan
0,3,1.0,Overnight,Shandong
0,3,1.0,Overnight,Zhejiang
0,5,1.0,Overnight,Hunan
0,3,1.0,Overnight,Guangdong
0,3,1.0,Overnight,Hebei
0,3,1.0,Overnight,Guizhou
0,3,1.0,Overnight,Canada
0,6,1.0,Overnight,Hunan
0,6,0.0,Overnight,Guangdong
1,3,0.0,Overnight,Guangdong
1,3,0.0,Overnight,Jilin
0,4,0.0,Overnight,Hebei
0,3,0.0,Overnight,Tianjin
0,3,0.0,Overnight,Shandong
0,3,0.0,Overnight,Hubei
0,3,0.0,Overnight,Jilin
1,3,0.0,Overnight,Guangdong
1,3,0.0,Overnight,Jiangsu
0,7,0.0,Overnight,Henan
1,3,0.0,Overnight,Jiangsu
0,3,0.0,Overnight,Guangdong
1,5,0.0,Overnight,Shanghai
1,3,0.0,Overnight,Liaoning
1,3,0.0,Overnight,Anhui
0,3,0.0,Overnight,Shandong
1,3,0.0,Overnight,Guangdong
1,6,0.0,Overnight,Guangdong
0,3,23.0,Evening,Jiangsu
0,1,23.0,Evening,Fujian
0,3,23.0,Evening,Beijing
0,3,23.0,Evening,Shaanxi
1,1,23.0,Evening,Xinjiang
0,4,23.0,Evening,Shaanxi
1,3,23.0,Evening,Hunan
1,3,23.0,Evening,Anhui
0,3,23.0,Evening,Yunnan
0,5,23.0,Evening,Zhejiang
0,3,23.0,Evening,Shanghai
0,3,23.0,Evening,Shandong
0,3,23.0,Evening,Sichuan
0,6,23.0,Evening,Sichuan
0,2,23.0,Evening,Henan
0,3,23.0,Evening,Anhui
0,3,22.0,Evening,Zhejiang
0,3,22.0,Evening,Shandong
0,6,22.0,Evening,Tianjin
0,3,22.0,Evening,Jiangxi
0,3,22.0,Evening,Beijing
0,3,22.0,Evening,Fujian
0,3,22.0,Evening,Zhejiang
0,3,22.0,Evening,Guangdong
0,6,22.0,Evening,Zhejiang
1,6,22.0,Evening,Zhejiang
1,3,22.0,Evening,Jilin
0,1,22.0,Evening,Taiwan
1,7,22.0,Evening,Beijing
1,5,22.0,Evening,Liaoning
0,3,22.0,Evening,Australia
0,1,22.0,Evening,Shanghai
0,3,22.0,Evening,Guangdong
0,5,21.0,Evening,Jiangsu
0,7,21.0,Evening,Chongqing
0,3,21.0,Evening,Gansu
0,1,21.0,Evening,Portugal
1,3,21.0,Evening,Beijing
1,3,21.0,Evening,Hubei
1,3,21.0,Evening,Jiangsu
0,3,20.0,Evening,Guangdong
0,5,20.0,Evening,Liaoning
0,3,20.0,Evening,Liaoning
0,1,20.0,Evening,Zhejiang
0,3,20.0,Evening,Taiwan
1,3,20.0,Evening,Hunan
0,3,20.0,Evening,Hunan
1,3,20.0,Evening,Zhejiang
0,6,19.0,Evening,Beijing
0,3,19.0,Evening,Guangdong
0,4,19.0,Evening,Shandong
0,6,19.0,Evening,Shandong
0,5,19.0,Evening,Inner Mongolia
1,3,19.0,Evening,Heilongjiang
0,7,19.0,Evening,Yunnan
0,3,19.0,Evening,Fujian
0,6,19.0,Evening,Guangdong
0,3,19.0,Evening,Guangdong
0,6,18.0,Evening,Hebei
0,6,18.0,Evening,Sichuan
0,3,18.0,Evening,Beijing
0,4,18.0,Evening,Shanghai
0,6,18.0,Evening,Guangdong
0,3,18.0,Evening,Beijing
0,3,18.0,Evening,Beijing
0,5,18.0,Evening,Shandong
1,3,17.0,Afternoon,Hong Kong
0,3,17.0,Afternoon,Shanxi
1,3,17.0,Afternoon,Hubei
1,3,17.0,Afternoon,Liaoning
0,7,17.0,Afternoon,Guangdong
0,3,17.0,Afternoon,Australia
0,3,17.0,Afternoon,Henan
0,3,17.0,Afternoon,Henan
0,3,16.0,Afternoon,Zhejiang
0,3,16.0,Afternoon,Beijing
0,4,16.0,Afternoon,Shandong
0,7,16.0,Afternoon,Jiangsu
0,4,16.0,Afternoon,South Korea
